category,week_end,amount_weekly
groceries,2018-09-03,702.85
groceries,2018-09-10,0.0
groceries,2018-09-17,46.0
groceries,2018-09-24,60.0
others,2015-01-19,500.0
others,2015-01-26,120.0
others,2015-02-02,0.0
others,2015-02-09,0.0
others,2015-02-16,750.0
others,2015-02-23,4217.0
others,2015-03-02,0.0
others,2015-03-09,0.0
others,2015-03-16,1075.0
others,2015-03-23,4300.0
others,2015-03-30,269.0
others,2015-04-06,0.0
others,2015-04-13,2000.0
others,2015-04-20,680.0
others,2015-04-27,59.0
others,2015-05-04,0.0
others,2015-05-11,0.0
others,2015-05-18,2307.0
others,2015-05-25,0.0
others,2015-06-01,12671.0
others,2015-06-08,0.0
others,2015-06-15,0.0
others,2015-06-22,0.0
others,2015-06-29,1198.0
others,2015-07-06,0.0
others,2015-07-13,0.0
others,2015-07-20,2599.0
others,2015-07-27,0.0
others,2015-08-03,199.0
others,2015-08-10,0.0
others,2015-08-17,4949.0
others,2015-08-24,0.0
others,2015-08-31,10558.0
others,2015-09-07,0.0
others,2015-09-14,0.0
others,2015-09-21,2099.0
others,2015-09-28,999.0
others,2015-10-05,100.0
others,2015-10-12,0.0
others,2015-10-19,3479.0
others,2015-10-26,1131.0
others,2015-11-02,1399.0
others,2015-11-09,0.0
others,2015-11-16,310.0
others,2015-11-23,251.0
others,2015-11-30,199.0
others,2015-12-07,0.0
others,2015-12-14,0.0
others,2015-12-21,1089.0
others,2015-12-28,547.0
others,2016-01-04,2000.0
others,2016-01-11,0.0
others,2016-01-18,0.0
others,2016-01-25,0.0
others,2016-02-01,10000.0
others,2016-02-08,0.0
others,2016-02-15,80.0
others,2016-02-22,0.0
others,2016-02-29,10361.0
others,2016-03-07,0.0
others,2016-03-14,0.0
others,2016-03-21,85.0
others,2016-03-28,159.0
others,2016-04-04,100.0
others,2016-04-11,0.0
others,2016-04-18,64.52
others,2016-04-25,0.0
others,2016-05-02,0.0
others,2016-05-09,0.0
others,2016-05-16,0.0
others,2016-05-23,11506.0
others,2016-05-30,0.0
others,2016-06-06,0.0
others,2016-06-13,0.0
others,2016-06-20,943.0
others,2016-06-27,0.0
others,2016-07-04,106.9
others,2016-07-11,0.0
others,2016-07-18,10.0
others,2016-07-25,0.0
others,2016-08-01,250.0
others,2016-08-08,0.0
others,2016-08-15,105.0
others,2016-08-22,100.0
others,2016-08-29,2138.0
others,2016-09-05,0.0
others,2016-09-12,0.0
others,2016-09-19,437.0
others,2016-09-26,0.0
others,2016-10-03,32.0
others,2016-10-10,0.0
